housenumber,street,x,y
103,Barlow Street,-135.326199,57.051535
324,Wachusetts Street,-135.344291,57.062059
322,Wachusetts Street,-135.34419,57.06224
106,Barlow Street,-135.325993,57.052183
206,Park Street,-135.32736,57.052943
614,Oja Street,-135.328092,57.052847
200,Park Street,-135.327695,57.052638
605,Etolin Street,-135.32949,57.052442
608,Etolin Street,-135.328761,57.05202
610,Etolin Street,-135.328944,57.052189
614,Etolin Street,-135.327963,57.052328
611,Etolin Street,-135.328599,57.052526
612,Etolin Street,-135.32836,57.05229
609,Etolin Street,-135.328831,57.05251
702,Etolin Street,-135.327503,57.052447
700,Etolin Street,-135.327763,57.05241
615,Etolin Street,-135.328214,57.052566
607,Etolin Street,-135.329077,57.052487
701,Lincoln Street,-135.327785,57.051832
209,Park Street,-135.328146,57.053066
210,Park Street,-135.327317,57.053205
706,Etolin Street,-135.327191,57.051878
705,Etolin Street,-135.326859,57.052775
708,Etolin Street,-135.326868,57.052536
703,Etolin Street,-135.327282,57.05276
606,Etolin Street,-135.329493,57.05204
102,Baranof Street,-135.329694,57.051722
605,Lincoln Street,-135.329225,57.051711
611,Lincoln Street,-135.328234,57.051486
607,Lincoln Street,-135.328734,57.051585
107,Finn Alley,-135.326774,57.05194
109,Finn Alley,-135.326737,57.052156
111,Finn Alley,-135.326762,57.05232
110,Finn Alley,-135.326217,57.052209
108,Barlow Street,-135.326288,57.052126
601,Etolin Street,-135.330166,57.052261
106,Baranof Street,-135.330048,57.052025
603,Etolin Street,-135.329724,57.052317
723,Lincoln Street,-135.325349,57.050971
103,Jeff Davis Street,-135.325489,57.051351
107,Jeff Davis Street,-135.325419,57.05191
801,Lincoln Street,-135.324853,57.050952
104,Jeff Davis Street,-135.324522,57.051459
101,Jeff Davis Street,-135.325275,57.051071
105,Jeff Davis Street,-135.325115,57.051368
721,Lincoln Street,-135.325724,57.051045
805,Lincoln Street,-135.324434,57.051032
101,Finn Alley,-135.326942,57.051535
107,Barlow Street,-135.326079,57.051804
106,Finn Alley,-135.326454,57.051688
105,Barlow Street,-135.326147,57.051675
104,Barlow Street,-135.325724,57.051964
102,Barlow Street,-135.32586,57.051641
719,Lincoln Street,-135.325946,57.051236
711,Lincoln Street,-135.326575,57.051281
715,Lincoln Street,-135.32637,57.051134
709,Lincoln Street,-135.327002,57.051347
705,Lincoln Street,-135.327443,57.051548
834,Lincoln Street,-135.323549,57.049759
836,Lincoln Street,-135.323434,57.049462
810,Lincoln Street,-135.323719,57.050109
832,Lincoln Street,-135.323793,57.049972
831,Lincoln Street,-135.323004,57.050251
833,Lincoln Street,-135.322861,57.049671
839,Lincoln Street,-135.321716,57.048991
835,Lincoln Street,-135.322098,57.049425
713,Sawmill Creek Road,-135.325573,57.054427
706,Sawmill Creek Road,-135.3262,57.054127
515,Kinkead Street,-135.33327,57.057371
504,Shennett Street,-135.333687,57.058305
506,Arrowhead Street,-135.33349,57.057608
417,Arrowhead Street,-135.334138,57.058206
616,Monastery Street,-135.334522,57.058497
503,Shennett Street,-135.333978,57.058547
502,Shennett Street,-135.334171,57.058258
615,Degroff Street,-135.329349,57.054749
504,Geodetic Way,-135.326137,57.055685
500,Geodetic Way,-135.327326,57.055574
614,Merrill Street,-135.329417,57.055132
616,Merrill Street,-135.329176,57.055106
618,Merrill Street,-135.328932,57.055084
605,Merrill Street,-135.330497,57.055443
607,Merrill Street,-135.330207,57.055575
609,Merrill Street,-135.329905,57.055381
4110,Halibut Point Road,-135.398639,57.107156
2,Lincoln Street,-135.339363,57.048354
2,Lincoln Street,-135.339237,57.048456
2,Lincoln Street,-135.339295,57.048613
1300,Halibut Point Road,-135.355043,57.063438
485,Katlian Street,-135.345896,57.053186
485,Katlian Street,-135.345551,57.053248
485,Katlian Street,-135.345501,57.053114
485,Katlian Street,-135.345546,57.053192
1710,Edgecumbe Drive,-135.360619,57.067772
306,Peterson Street,-135.345026,57.060976
124,Wolff Drive,-135.297283,57.049776
302,Wachusetts Street,-135.346756,57.062
606,Sawmill Creek Road,-135.330087,57.053683
215,Smith Street,-135.308471,57.050476
718,Biorka Street,-135.324973,57.053754
722,Biorka Street,-135.324404,57.05383
202,Jeff Davis Street,-135.323933,57.052992
208,Oja Street,-135.326925,57.053219
706,Biorka Street,-135.326482,57.053431
702,Biorka Street,-135.327001,57.053449
700,Biorka Street,-135.327272,57.053415
704,Biorka Street,-135.326811,57.053502
716,Etolin Street,-135.325289,57.052719
714,Etolin Street,-135.325649,57.052657
713,Etolin Street,-135.325747,57.05294
711,Etolin Street,-135.326093,57.053064
709,Etolin Street,-135.326245,57.05286
712,Etolin Street,-135.326023,57.052605
201,Jeff Davis Street,-135.324668,57.053031
717,Etolin Street,-135.325269,57.053169
719,Etolin Street,-135.325046,57.05305
121,Jeff Davis Street,-135.324722,57.052768
715,Etolin Street,-135.325564,57.053125
717,Sawmill Creek Road,-135.325056,57.054258
719,Sawmill Creek Road,-135.324754,57.054216
124,Jeff Davis Street,-135.32417,57.0526
807,Fire Lane,-135.323912,57.051559
806,John Brady Drive,-135.324066,57.051913
805,Fire Lane,-135.324359,57.051713
109,Jeff Davis Street,-135.324926,57.051766
111,Jeff Davis Street,-135.324987,57.052106
808,John Brady Drive,-135.323678,57.051799
809,John Brady Drive,-135.323281,57.051956
813,John Brady Drive,-135.322297,57.051737
811,Fire Lane,-135.323045,57.051488
810,John Brady Drive,-135.323533,57.051654
200,Jeff Davis Street,-135.324183,57.05282
126,Jeff Davis Street,-135.324332,57.052701
119,Jeff Davis Street,-135.324753,57.052631
117,Jeff Davis Street,-135.324798,57.052497
115,Jeff Davis Street,-135.32485,57.052364
113,Jeff Davis Street,-135.32491,57.05224
877,Sawmill Creek Road,-135.321357,57.054651
100,Indian River Road,-135.31935,57.053989
837,Hillcrest Drive,-135.321414,57.050046
836,Hillcrest Drive,-135.322208,57.049906
108,Sheldon Jackson Drive,-135.32112,57.05075
835,Hillcrest Drive,-135.321542,57.05019
106,Sheldon Jackson Drive,-135.32121,57.050511
114,Sheldon Jackson Drive,-135.320171,57.05164
110,Sheldon Jackson Drive,-135.321067,57.051211
834,Hillcrest Drive,-135.322214,57.050213
803,Lincoln Street,-135.322167,57.050444
818,Fire Lane,-135.322449,57.050909
817,Fire Lane,-135.322517,57.051109
815,Fire Lane,-135.32297,57.051247
107,Metlakatla Street,-135.320028,57.049215
104,Kelly Street,-135.320751,57.049082
110,Kelly Street,-135.320401,57.04946
108,Kelly Street,-135.320521,57.049333
106,Kelly Street,-135.320629,57.049205
102,Kelly Street,-135.320841,57.048946
103,Metlakatla Street,-135.320266,57.048965
105,Metlakatla Street,-135.319992,57.049062
109,Metlakatla Street,-135.319915,57.049337
101,Metlakatla Street,-135.320257,57.048805
839,Hillcrest Drive,-135.321212,57.049867
116,Sheldon Jackson Drive,-135.320374,57.051913
1000,Sawmill Creek Road,-135.316287,57.052299
103,Peter Simpson Road,-135.312728,57.055893
100,Flume Circle,-135.316246,57.054529
103,Kaasda Heen Circle,-135.317092,57.054154
101,Kaasda Heen Circle,-135.317558,57.054416
100,Kaasda Heen Circle,-135.318006,57.054115
300,Indian River Road,-135.316843,57.054522
107,Rudolph Walton Circle,-135.314569,57.057762
109,Rudolph Walton Circle,-135.314387,57.05798
108,Rudolph Walton Circle,-135.31397,57.058018
106,Rudolph Walton Circle,-135.31366,57.057724
105,Rudolph Walton Circle,-135.314248,57.057485
116,Andrew Hope Street,-135.315269,57.057104
121,Andrew Hope Street,-135.316703,57.057409
119,Andrew Hope Street,-135.316362,57.057217
117,Andrew Hope Street,-135.316074,57.057052
115,Andrew Hope Street,-135.315729,57.056793
104,Rudolph Walton Circle,-135.313443,57.057532
102,Rudolph Walton Circle,-135.313333,57.057335
1531,Sawmill Creek Road,-135.300058,57.048279
1514,Sawmill Creek Road,-135.299289,57.046973
1517,Sawmill Creek Road,-135.298828,57.047606
1516,Sawmill Creek Road,-135.298573,57.047146
1506,Sawmill Creek Road,-135.301024,57.046506
1504,Sawmill Creek Road,-135.301338,57.046478
1502,Sawmill Creek Road,-135.30168,57.046404
1512,Sawmill Creek Road,-135.300092,57.046759
1510,Sawmill Creek Road,-135.300435,57.046565
1508,Sawmill Creek Road,-135.3008,57.04657
107,Kiksadi Court,-135.29861,57.049911
220,Vitskari Street,-135.300095,57.049219
