bldg_id,highest-hit,bare-earth,bldg_height,x,y
0,44.42,19.13,25.29,-135.3342324,57.05018445
1,31.2,20.56,10.64,-135.3325496,57.05090494
2,31.46,19.28,12.18,-135.3325223,57.05081574
3,54.95,36.39,18.56,-135.3332713,57.05229507
4,54.86,36.46,18.4,-135.3329947,57.05231361
5,63.91,37.58,26.33,-135.3326929,57.0523491
6,60.96,31.48,29.48,-135.3306426,57.05180963
7,57.78,31.71,26.07,-135.3332621,57.05195187
8,52.3,20.55,31.75,-135.3321903,57.05127022
9,45.9,23.41,22.49,-135.3325694,57.05124995
10,51.28,32.05,19.23,-135.3306072,57.05205676
11,59.78,31.3,28.48,-135.3309293,57.0520302
12,55.71,21.01,34.7,-135.331217,57.05143253
13,50.79,20.79,30,-135.3308284,57.05148301
14,30.25,16.14,14.11,-135.3340624,57.05032141
15,36.12,13.82,22.3,-135.3339166,57.05036516
16,62.37,16.62,45.75,-135.3336162,57.05034089
17,32.81,17.64,15.17,-135.3334067,57.05051263
18,46.26,24.92,21.34,-135.3349529,57.05034524
19,67.95,24.07,43.88,-135.3346641,57.05050142
20,43.04,21.84,21.2,-135.3340434,57.05080887
21,42.29,20.07,22.22,-135.334294,57.05067439
22,29.23,16.43,12.8,-135.3331624,57.05034378
23,49.7,17.91,31.79,-135.3330986,57.05068858
24,57.48,21.67,35.81,-135.3337302,57.05097322
25,86.94,25.45,61.49,-135.3334703,57.05136311
26,61.94,26.91,35.03,-135.3342778,57.05099885
27,47.83,33.57,14.26,-135.3348075,57.05112603
28,64.5,41.19,23.31,-135.3351158,57.05127553
29,85.07,50.48,34.59,-135.3353787,57.0510061
30,69.16,49.81,19.35,-135.3356952,57.05097092
31,75.23,57.76,17.47,-135.3364439,57.05097036
32,80.31,54.33,25.98,-135.3359291,57.05096089
33,73.82,51.83,21.99,-135.3367245,57.05087526
34,83.43,57.51,25.92,-135.3371789,57.05107755
35,72.67,51.37,21.3,-135.3375217,57.05108298
36,67.16,49.3,17.86,-135.3373748,57.05094641
37,56.56,41.5,15.06,-135.3377901,57.05086515
38,66.73,54.78,11.95,-135.337504,57.05126865
39,66.8,52.05,14.75,-135.3374846,57.05119831
40,62.96,52.23,10.73,-135.3375646,57.051174
41,59.65,47.36,12.29,-135.3382548,57.05118035
42,72.83,47.64,25.19,-135.3384414,57.05138738
