elevation,highest hit,hh,ele,height,bldg_id,X,Y
19.7,44.16,13.5,6.0,7.5,1,-135.334278,57.050151
20.66,30.81,9.4,6.3,3.1,2,-135.332538,57.050865
36.39,54.95,16.7,11.1,5.7,3,-135.333271,57.052295
36.46,54.86,16.7,11.1,5.6,4,-135.332995,57.052314
37.58,63.91,19.5,11.5,8.0,5,-135.332693,57.052349
31.48,60.96,18.6,9.6,9.0,6,-135.330643,57.051810
31.71,57.78,17.6,9.7,7.9,7,-135.333262,57.051952
21.26,45.41,13.8,6.5,7.4,8,-135.332300,57.051264
31.37,59.78,18.2,9.6,8.7,9,-135.330805,57.052040
21.01,55.71,17.0,6.4,10.6,10,-135.331217,57.051433
20.79,50.79,15.5,6.3,9.1,11,-135.330828,57.051483
16.14,30.25,9.2,4.9,4.3,12,-135.334062,57.050321
13.82,36.12,11.0,4.2,6.8,13,-135.333917,57.050365
16.62,62.37,19.0,5.1,13.9,14,-135.333616,57.050341
17.64,32.81,10.0,5.4,4.6,15,-135.333407,57.050513
24.92,46.26,14.1,7.6,6.5,16,-135.334953,57.050345
24.07,67.95,20.7,7.3,13.4,17,-135.334664,57.050501
22.58,43.14,13.1,6.9,6.3,18,-135.334071,57.050825
20.07,42.29,12.9,6.1,6.8,19,-135.334294,57.050674
16.43,29.23,8.9,5.0,3.9,20,-135.333162,57.050344
17.91,49.7,15.1,5.5,9.7,21,-135.333099,57.050689
21.67,57.48,17.5,6.6,10.9,22,-135.333730,57.050973
21.7,75.79,23.1,6.6,16.5,23,-135.333541,57.051283
26.91,61.94,18.9,8.2,10.7,24,-135.334278,57.050999
33.57,47.83,14.6,10.2,4.3,25,-135.334808,57.051126
41.23,64.04,19.5,12.6,7.0,26,-135.335116,57.051293
50.16,87.2,26.6,15.3,11.3,27,-135.335392,57.051019
50.32,69.98,21.3,15.3,6.0,28,-135.335708,57.050984
58.16,76.54,23.3,17.7,5.6,29,-135.336447,57.050981
55.46,75.23,22.9,16.9,6.0,30,-135.335942,57.050974
52.41,73.92,22.5,16.0,6.6,31,-135.336742,57.050894
57.88,83.33,25.4,17.6,7.8,32,-135.337190,57.051104
51.37,72.67,22.1,15.7,6.5,33,-135.337522,57.051083
49.3,67.16,20.5,15.0,5.4,34,-135.337375,57.050946
41.5,56.56,17.2,12.6,4.6,35,-135.337790,57.050865
54.78,66.73,20.3,16.7,3.6,36,-135.337504,57.051269
52.04,63.52,19.4,15.9,3.5,37,-135.337523,57.051187
47.36,59.65,18.2,14.4,3.7,38,-135.338255,57.051180
47.64,72.83,22.2,14.5,7.7,39,-135.338441,57.051387
53.89,82.94,25.3,16.4,8.9,40,-135.338609,57.051644
59.73,79.86,24.3,18.2,6.1,41,-135.338883,57.052029
61.82,74.84,22.8,18.8,4.0,42,-135.338930,57.052165
64.51,80.81,24.6,19.7,5.0,43,-135.339066,57.052256
70.02,93.73,28.6,21.3,7.2,44,-135.340505,57.052234
71.52,90.12,27.5,21.8,5.7,45,-135.339979,57.052221
68.1,87.47,26.7,20.8,5.9,46,-135.340215,57.052101
65.53,90.49,27.6,20.0,7.6,47,-135.340983,57.052080
52.88,81.3,24.8,16.1,8.7,48,-135.340596,57.051768
58.38,78.87,24.0,17.8,6.2,49,-135.340707,57.051903
32.02,56.4,17.2,9.8,7.4,50,-135.341701,57.052070
33.13,33.53,10.2,10.1,0.1,51,-135.341112,57.051780
34.39,56.92,17.3,10.5,6.9,52,-135.341295,57.051962
29.91,46.95,14.3,9.1,5.2,53,-135.341482,57.051871
29.81,61.35,18.7,9.1,9.6,54,-135.341375,57.051830
22.93,43.93,13.4,7.0,6.4,55,-135.342030,57.051953
18.26,48.52,14.8,5.6,9.2,56,-135.342050,57.051774
18.71,48.72,14.8,5.7,9.1,57,-135.341937,57.051708
15.57,44.55,13.6,4.7,8.8,58,-135.343197,57.051976
-0.39,41.9,12.8,-0.1,12.9,59,-135.343307,57.051594
2.11,39.04,11.9,0.6,11.3,60,-135.342894,57.051535
1.83,29.69,9.0,0.6,8.5,61,-135.343797,57.051198
1.9,31.63,9.6,0.6,9.1,62,-135.344194,57.051241
0.99,37.86,11.5,0.3,11.2,63,-135.343905,57.051373
14.6,36.02,11.0,4.4,6.5,64,-135.346003,57.053634
15.67,52.07,15.9,4.8,11.1,65,-135.345839,57.053390
